Stock_name,Stock_Info_name,Stock_Info_number,Stock_Stock_name,Stock_Stock_Info_name,Stock_Stock_Info_number,Stock_Stock_Stock_name,Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_name,Stock_Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_Stock_name,Stock_Stock_Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_Stock_Stock_name,Stock_Stock_Stock_Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_Stock_Stock_Stock_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_name,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Info_number,Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_Stock_name
AbbVie,Prev. Close,79.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Day's Range,79.27 - 83.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Revenue,32.19B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Open,79.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,52 wk Range,77.5 - 125.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,EPS,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Volume,"10,315,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Market Cap,125.05B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Dividend (Yield),3.84 (4.63%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Average Vol. (3m),"5,595,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,P/E Ratio,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Beta,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,1-Year Change,-10.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Shares Outstanding,"1,514,272,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie,Next Earnings Date,24-Jan-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Apple,Prev. Close,207.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Apple,Day's Range,198.17 - 204.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Apple,Revenue,265.6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Apple,Open,204.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
