Stock_name,Stock_url,Stock_Last,Stock_High,Stock_Low,Stock_Change,Stock_Vol
AbbVie,https://www.investing.com/equities/abbvie-inc,82.58,83.83,79.27,3.80%,10.32M
Alibaba,https://www.investing.com/equities/alibaba,144.64,149.37,144.23,-2.00%,16.20M
Allergan,https://www.investing.com/equities/actavis,165.47,166.26,162.5,1.48%,1.69M
Alphabet A,https://www.investing.com/equities/google-inc,"1,055.73","1,073.35","1,034.00",-1.47%,2.27M
Alphabet C,https://www.investing.com/equities/google-inc-c,"1,040.09","1,058.47","1,021.24",-1.67%,2.44M
Altaba,https://www.investing.com/equities/yahoo-inc,60.87,62.21,60.68,-1.39%,3.73M
Amazon.com,https://www.investing.com/equities/amazon-com-inc,"1,627.80","1,658.09","1,596.36",-2.27%,5.62M
American Airlines,https://www.investing.com/equities/american-airlines-group,35.72,36.52,35.13,-1.41%,11.31M
Amgen,https://www.investing.com/equities/amgen-inc,189.92,190.72,187.55,1.53%,2.71M
Apple,https://www.investing.com/equities/apple-computer-inc,201.59,204.39,198.17,-2.84%,66.16M
AT&T,https://www.investing.com/equities/at-t,30.63,30.86,30.57,0.36%,27.35M
Baidu,https://www.investing.com/equities/baidu.com,190.59,197.17,189.15,-2.11%,3.22M
Bank of America,https://www.investing.com/equities/bank-of-america,28.06,28.24,27.89,0.61%,41.10M
Biogen Inc,https://www.investing.com/equities/biogen-idec-inc,317.15,318.8,313.58,1.42%,1.02M
Booking,https://www.investing.com/equities/priceline.com-inc,"1,871.12","1,885.15","1,838.59",-0.21%,679.48K
Celgene,https://www.investing.com/equities/celgene-corp,74.27,74.87,73.29,0.11%,4.64M
Chevron,https://www.investing.com/equities/chevron,118.94,119.67,116.6,3.67%,8.76M
Cisco,https://www.investing.com/equities/cisco-sys-inc,46.14,46.44,45.35,1.45%,17.52M
Citigroup,https://www.investing.com/equities/citigroup,67.3,67.47,66.26,2.09%,14.82M
Coca-Cola,https://www.investing.com/equities/coca-cola-co,48.69,48.78,47.92,1.44%,16.54M
Comcast,https://www.investing.com/equities/comcast-corp-new,38.02,38.35,37.85,0.96%,18.78M
Delta Air Lines,https://www.investing.com/equities/delta-air-lines-new,56.05,56.38,55.55,-0.12%,5.21M
Exxon Mobil,https://www.investing.com/equities/exxon-mobil,81.64,82.87,81.44,-0.38%,15.81M
Facebook,https://www.investing.com/equities/facebook-inc,148.68,150.19,147.44,-1.11%,15.97M
Fitbit Inc,https://www.investing.com/equities/fitbit-inc,5.9,6.15,5.76,-3.28%,9.87M
General Electric,https://www.investing.com/equities/general-electric,9.28,9.53,9.27,-0.11%,124.39M
Gilead,https://www.investing.com/equities/gilead-sciences-inc,69.58,70.17,68.96,0.20%,6.09M
Home Depot,https://www.investing.com/equities/home-depot,182.19,182.41,179.3,1.26%,3.89M
IBM,https://www.investing.com/equities/ibm,120.06,120.77,116,3.80%,9.14M
Intel,https://www.investing.com/equities/intel-corp,47.97,48.25,46.92,1.83%,23.75M
J&J,https://www.investing.com/equities/johnson-johnson,142.2,142.74,139,1.08%,5.60M
JPMorgan,https://www.investing.com/equities/jp-morgan-chase,109.09,109.29,108.42,0.66%,10.28M
McDonald's,https://www.investing.com/equities/mcdonalds,180.39,181.1,177,2.06%,4.75M
Merck&Co,https://www.investing.com/equities/merck---co,73.12,73.57,70.12,1.18%,12.33M
Microsoft,https://www.investing.com/equities/microsoft-corp,107.51,107.74,105.9,1.27%,27.92M
Oracle,https://www.investing.com/equities/oracle-corp,49.02,49.13,48.5,0.39%,13.13M
Pfizer,https://www.investing.com/equities/pfizer,43.52,43.62,42.83,1.37%,20.52M
Procter&Gamble,https://www.investing.com/equities/procter-gamble,91.2,91.44,89.82,1.55%,12.27M
Qualcomm,https://www.investing.com/equities/qualcomm-inc,63.47,63.8,62.66,0.22%,13.37M
Regeneron Pharma,https://www.investing.com/equities/regeneron-phar.,354.93,360.6,352.62,0.66%,819.08K
Schlumberger,https://www.investing.com/equities/schlumberger-ltd,51.96,52.28,51.3,1.09%,8.64M
Tesla,https://www.investing.com/equities/tesla-motors,341.4,343.96,330.14,-1.45%,7.83M
Twitter Inc,https://www.investing.com/equities/twitter-inc,34.02,34.28,33.37,-0.82%,18.21M
Verizon,https://www.investing.com/equities/verizon-communications,57.21,57.45,56.51,1.02%,12.73M
Visa,https://www.investing.com/equities/visa-inc,139.8,140.21,138.07,0.01%,6.28M
Walmart,https://www.investing.com/equities/wal-mart-stores,102.91,103.17,100.63,1.55%,7.62M
Walt Disney,https://www.investing.com/equities/disney,115.45,116.22,115.12,0.23%,7.92M
Wells Fargo&Co,https://www.investing.com/equities/wells-fargo,53.66,54.3,51.16,0.09%,18.99M
Williams,https://www.investing.com/equities/williams-cos,25.72,25.89,25.07,0.55%,11.01M
